Job_Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,hourly,Min_salary,Max_salary,Avg_salary,Company_Name_Cleaned,Job_State_cleaned,Age,Python,SQL,AWS,AZURE,BIG_DATA,Computer_Vision,R,Visualization,Tableau,Power BI,Machine_Learning,STATISTICS,Deep Learning,EXCEL,Deployment,Job_simplified,Seniority,Min_size,Max_size,AVG_size,Rev_million,Rev_billion
Data Scientist 1,$57K-$94K (Glassdoor est.),"At NGL, we strive to make data-driven decisions for our internal and external customers. We endeavor to utilize advanced analytic tools and processes to help NGL use data as an asset. To help advance us even further, we’re searching for a Data Scientist to join our team. The ideal candidate will be responsible for performing complex analyses, creating advanced visualizations, applying advanced predictive analytics and machine learning techniques, and structuring data in an optimal format for NGL.

Perform advanced analytics using predictive modeling, machine learning, and other advanced techniques.
Builds large and complex information sets using both unstructured and structured data.
Provides detailed insights to others on issues.
Use data driven insights to recommend opportunities for growth, competitiveness, and profitability.
Builds creative visualizations that tell a story.
Effectively communicate results of advanced analytics to both technical and non- technical audiences.
Recommend and develop new metrics to advance decision making.
Provides leadership, coaching, and/or mentoring to others.
Share ownership of the solution deployment, testing, quality, monitoring, and operational excellence with the rest of the agile team
Participate in regular team and stakeholder meetings
Continually develop skill sets and abilities to keep them relevant, current, and applicable to NGL's current and future needs.
Follow data science development life cycle and quality assurance best practices and governance
Perform other duties and responsibilities as needed

Critical thinking, analytical, and problem solving skills; strong technical and non-technical communication (verbal, written, listening) and interpersonal skills; highly detail oriented; ability to work independently and in a team; excellent time and priority management; proven abilities to take initiative and be innovative; working knowledge of Scrum
Required Proficiencies:
Ability to lead multiple projects while providing effective input and briefing senior leaders.
Strong problem-solving abilities.
Ability and willingness to learn and extend skills and mentor others.
Strong oral and written communication skills.
Experience in statistical modeling, machine learning, and other advanced techniques.
Experience building structured and unstructured data sets together.
Experience creating visualizations in Tableau, PowerBI, or other similar BI tool.",3.0,"National Guardian Life Insurance Company
3.0","Madison, WI",-1,201 to 500 ,1909,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion,-1,0,57,94,75.5,National Guardian Life Insurance Company, WI,111,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,data scientist,na,201,500,350.5,1,1
Data Scientist,$57K-$94K (Glassdoor est.),"About ClearCut Analytics
ClearCut was founded in Chicago with the mission of revolutionizing strategic decision-making by the world's leading brands through data-powered business intelligence. With a focus on the Amazon marketplace, ClearCut provides a vast array of sales analytics to equip brands with the information they need to maximize their value.


Data Scientist Job Description
ClearCut Analytics is looking for an innovative, solutions-oriented Data Scientist to join our fast-paced company and growing Analytics & Product Development team. The Data Scientist will play a key role in our company’s growth through building a highly scalable infrastructure that allows our team to develop data-driven solutions to solve complex business challenges. The ideal candidate is passionate about technology, loves collaborating to solve a wide variety of challenges and interesting use cases. This role will report to ClearCut’s Chief Technology Officer.
Responsibilities
Helping to build and drive the Data Science and Analytics roadmap
Leveraging data to drive business solutions for clients that are presented through ClearCut’s SaaS platform
Performing data collection, as well as developing custom models and algorithms to apply to data sets
Using predictive modeling to increase and optimize business operations, customer experience, revenue generation, and other business outcomes
Processing, cleansing, and verifying the integrity of data used for modeling and analysis, while enhancing processes and tools used to monitor model performance and input data
Developing machine learning models and productizing AI-based solutions alongside product and development team
Ideating new data-related concepts and applications then overseeing projects through deployment
Taking end-to-end ownership of problem domains and continuously improving upon quantitative solutions
Requirements
MS or Bachelor’s Degree in Mathematics, Statistics, CS/Engineering, or similar field
4+ years of professional experience in an analytics and data science environment utilizing quantitative analytics methodologies, experience in a SaaS or eCommerce environment a plus
Experience writing programs/queries with data analysis tools and languages such as Python, R, SAS, AMPL, SQL, or Alteryx
Hands-on experience with multivariate analytic techniques: linear and logistic regression, decision tree, cluster and factor analysis, time-series forecasting methods, SVM models, and/or neural networks
Understanding of broad business principles and the ability to create solutions for real-world challenges
Ability to thrive in a fast-paced, entrepreneurial environment
Eagerness to learn and grow",4.8,"ClearCut Analytics
4.8","Chicago, IL",-1,1 to 50 ,2016,Company - Private,Research & Development,Business Services,na,-1,0,57,94,75.5,ClearCut Analytics, IL,4,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,data scientist,na,1,50,25.5,0,0
Data Scientist Virtual Hiring Event,$57K-$94K (Glassdoor est.),"Oasis Systems Hiring Event!Event DetailsDate: Wednesday, September 30, 2020What We're Hiring ForData ScientistData Analytics Project ManagerIntake Details:RequirementsSAS, Data Risk AnalystTechnical requirementsThe interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.What to bring to this eventUpdated resumeCompleting our online application prior to the event is strongly encouraged and will speed up the process.What to wearDress code is Casual (come as you are, but please be presentable).About Oasis Systems, LLCOasis Systems is a leading technology services company providing a broad range of capabilities in Systems Engineering, Enterprise Systems and Applications, Information Technology, Cyber Security, Specialized Engineering Solutions, Human Factors Engineering, and Professional Services. Oasis creates sustainable value for mission critical programs with all Department of Defense Branches, FAA, NRC and other Federal Agencies. With people in 36 states and 10 countries Oasis delivers talent, innovation and intelligence for mission success.Please Visit Our Page for more information!https://www.oasissystems.com/What is a Virtual Hiring Event?Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!The successful candidate shall provide support in data analytics (including descriptive and predictive analytics, data mining, and market risk analysis), large data manipulation, data visualization and use of data analytic tools. Activities which the contractor may be tasked to perform include gathering requirements from stakeholders, conducting financial data analysis and risk analysis in a Big Data environment, and creating interactive dashboard reports and documentations.A minimum of 8 years of relevant experience in the data analysis field and a minimum of 5 years of industrial analytics experience using statistical program languages such as SAS, R, and Python (recent use during the past 3 years) as well as extensive experience with SQL.https://oasiscareers-oasissystems.icims.com/jobs/9890/data-scientist-risk-analyst/job",3.7,"Oasis Systems, LLC
3.7","Washington, DC",-1,1001 to 5000 ,1997,Company - Private,IT Services,Information Technology,$100 to $500 million,-1,0,57,94,75.5,"Oasis Systems, LLC", DC,23,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,data scientist,na,1001,5000,3000.5,1,0
Data Scientist Virtual Hiring Event,$57K-$94K (Glassdoor est.),"LMI Hiring Event!Event DetailsDate: Wednesday, September 30, 2020What We're Hiring ForData EngineerData ScientistSoftware EngineerNetwork EngineerInformation Security AnalystIntake Details:RequirementsSecurity clearance of Secret or aboveTechnical requirementsThe interview will take place on Indeed’s virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the virtual interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.What to bring to this eventAn electronic copy of your resumeWhat to wearDress code is Casual (come as you are, but please be presentable).About LMILMI is a consultancy dedicated to improving the business of government, drawing from deep expertise in advanced analytics, digital services, logistics, and management advisory services. Established in 1961, LMI is a trusted third party to federal civilian, national security, and defense agencies, operating free of commercial and political bias. For nearly 60 years, LMI has worked with 40 government agencies. From the departments of Defense to Health and Human Services, LMI is honored to support the government's mission and people around the globe. We believe government can make a difference, and we seek talented, hardworking, mission-driven people who share that conviction.What is a Virtual Hiring Event?Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!Active Secret clearance or higherBachelor’s degree in data science, mathematics, statistics, economics, computer science, engineering, or a related business or quantitative disciplineExperience working with tools, including object-oriented programming (Python, Java), computational analysis tools (R, MATLAB), and associated data science libraries (scikit-learn)Experience creating meaningful data visualizations and interactive dashboards using platforms such as Tableau, Qlik, Power BI, RShiny, plotly, and d3.js to communicate findings and relate them back to how your insights create business impactWorking knowledge of databases and SQL; preferred qualifications include linking analytic and data visualization products to database connectionsAt least 5–10 years of experience in the field",4.2,"LMI
4.2","McLean, VA",-1,1001 to 5000 ,1961,Nonprofit Organization,Consulting,Business Services,$100 to $500 million,-1,0,57,94,75.5,LMI, VA,59,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,data scientist,na,1001,5000,3000.5,1,0
Certified Lab Scientist or Certified Lab Tech,$57K-$94K (Glassdoor est.),"Prairie Ridge Health is looking for a team member to join or Lab Department in the role of Certified Lab Scientist or Certified Lab Tech. This position is PRN (as needed) and will be responsible for performing general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability...….POSITION SUMMARY Lab Scientist The Medical Technologist performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Medical Technologist develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. May supervise others in the absence of the Laboratory Supervisor. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patientsORLab TechThe Clinical Laboratory Technician I performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Clinical Laboratory Technician II develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients.EDUCATION REQUIREMENTS/LICENSURE/CERTIFICATION/REGISTRATIONLab ScientistBachelors’ degree in Medical Technology and graduate of an accredited Medical Technology Program.Registered or eligible as a Medical Technologist (MT) or Clinical Laboratory Scientist (CLS) with a national accrediting agency (ASCP) or qualified as a MT/CLS having passed the Federal Equivalence Exam (HEW)Meets the CLIA 88 requirements for individuals performing highly complex testingCPR certificationORLab TechAssociate degree and completion of a 2 year CLT / Medical Laboratory Technician (MLT) training program.Registered or eligible as a Clinical Laboratory Technician or Medical Laboratory Technician (MLT) with a national accrediting agency (ASCP).Meets the CLIA 88 requirements for individuals performing highly complex testing.A minimum of 1 year experience in a clinical laboratory performing highly complex testing is desired or a recent new graduate of an accredited school.CPR certificationFTE: PRN (as needed)Shift: As NeededPowered by JazzHRLy3sHi576B",-1.0,Prairie Ridge Health,"Columbus, WI",-1,201 to 500 ,-1,Hospital,-1,-1,Less than $1 million,-1,0,57,94,75.5,Prairie Ridge Health, WI,-1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,na,na,201,500,350.5,1,0
Senior Data Scientist,$57K-$94K (Glassdoor est.),"Sartorius Stedim Data Analytics, a market leader in advanced analytics and provider of Umetrics Suite of Data Analytics Solutions, is on a strong growth path driving new innovative solutions in the field. It currently has an outstanding opportunity for a Senior Data Scientist to drive customer applications, support the Sartorius sales teams and feedback customer needs into the development of new solutions. The incumbent for this key role will have a strong customer focus to help secure innovation and growth from both new and existing customers.

What you can look forward to
Assisting customers in solving business related problems using advanced data analysis and data driven technologies
Supporting implementation of advanced analytics in industry
Analyzing large amounts of data and building data driven models
Initiating, leading and driving customer projects
Training customers on the use of our software
Supporting sales (pre/post)
Supporting marketing & development
Performing regular follow up with customers to track satisfaction, secure project momentum and discover additional opportunities
Creating technical documents
Attending and presenting at conferences, seminars and forums
Developing & cultivating strong relationships with external and internal stakeholders
Being part of a team of data scientists
Skills and experience
Minimum a master’s degree in a relevant field (engineering, life sciences, informatics, automation/control, etc.), Ph.D. preferred
Minimum five years’ work experience within Biopharma or Pharma
Minimum five years’ working knowledge of applied statistics including MVDA, DOE, MSPC, PAT, QbD, Model Predictive Control (MPC), MMPC, AI/Machine learning
Strong bioprocess knowledge preferred
Familiarity with Umetrics Suite of Data Analytics Solutions preferred (MODDE, SIMCA, SIMCA-online, Control Advisor, Active Dashboard)
Working knowledge of prescriptive analytics preferred
Working knowledge of Python scripting preferred
Working knowledge of MATLAB, data historians and control strategies a plus
Teaching, consulting and project management experience preferred
Excellent communications skills, strong presentation skills
Comfortable working independently
Comfortable working from home office, willingness to travel (~25%)
Strong identification with Sartorius core values: sustainability, openness, enjoyment
Driving our future growth requires talented people. Sartorius is a dynamic organization suited to people who want to showcase skills, be recognized for expertise and thrive in a vibrant and innovative environment.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex or national origin. We are also an equal opportunity employer of individuals with disabilities and protected veterans.

Please view equal employment opportunity posters provided by OFCCP here

https://e-verify.uscis.gov/esp/media/resourcesContents/EverifyPosterEnglish.pdf

https://e-verify.uscis.gov/esp/media/resourcesContents/EverifyPosterSpanish.pdf

https://e-verify.uscis.gov/esp/media/resourcesContents/WebBPPOSTERRtoWEnglishversion.pdf

https://e-verify.uscis.gov/esp/media/resourcesContents/WebBPPOSTERRtoWSpanishversion.pdf

Interested? Driving our future growth requires talented people. Sartorius is a dynamic organisation suited to people who want to showcase skills, be recognised for expertise and thrive in a vibrant and innovative environment.

To find out more about Sartorius as an employer visit us on Sartorius Careers

Become part of our global team.",3.6,"Sartorius
3.6","Albuquerque, NM",-1,5001 to 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion,-1,0,57,94,75.5,Sartorius, NM,150,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,data scientist,senior,5001,10000,7500.5,0,1
Data Scientist,$57K-$94K (Glassdoor est.),"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.3,"Publishers Clearing House
3.3","Jericho, NY",-1,501 to 1000 ,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion,-1,0,57,94,75.5,Publishers Clearing House, NY,67,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,data scientist,na,501,1000,750.5,1,1
Data Scientist,$57K-$94K (Glassdoor est.),"Company Description

MMIT is growing from the leading drug coverage data business into a comprehensive, integrated market access company serving pharmaceutical manufacturers, health insurers, PBMs and healthcare IT companies. Their suite of applications is designed to manage an ever-changing proprietary set of pharmacy and medical benefit information and to provide a structured view of complex market access information. By embedding their data and SaaS applications across healthcare, they help ensure transparency, consistency and informed prescription decisions across the MMIT Network. They partner with hundreds of payers and pharma manufacturers ensuring that their products continually capture and analyze coverage and restriction criteria for more than 98% covered lives.

Team Overview

The MMIT Product Management Team is charged with developing, growing and maintaining the MMIT product portfolio that smooth access to lifechanging therapies. This entails managing products through all phases of the product lifecycle, from concept to sunset. The product management team embraces a market-backed perspective, champions unmet client needs, and is committed to a highly accountable and collaborative Product Management approach.

Job Description

MMIT is seeking experienced Data Scientists to meaningful contributes to the growth and development of the MMIT product portfolio. Ideal candidates are comfortable working with large, complex data sets to help inform, simplify and actualize key product capabilities. They will have comfort collaborating with various stakeholders and navigating ambiguity with limited direction. They will dedicate themselves to understanding the MMIT product portfolio (both current capabilities and future product roadmaps) and key data dependencies to inform data models, architecture, and new product development.

To succeed in this role, you will apply your skillset to

· Inform, create and/or maintain master data hierarchy, attributes and structure.

· Bridge claims data and coverage data – Refine existing rules and create and continually improve new methods for accurately assigning pharmacy and medical claims volumes to MMIT controller entities

· Apply data science to the creation of short and long form geographic market and controller entity descriptive narratives (NLP / NLG)

· Translate product management strategy into actionable data science deliverables, guiding development of data models, business rules and other advanced analytical capabilities

· Excel at communicating across a broad set of cross-functional stakeholders.

· Work collaboratively with MMIT product and data teams to develop and/or commercialize analytics use cases that may include market access, coverage / lives, and RWE data

· Effectively partner with external organizations including clients and vendors to develop meaning and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.

· Identify and evaluate additional data sources that could be integrated in value enhancing ways.

· Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise.

· Support various commercial or commercialization efforts as needed.

· Take a leading role in developing data science as a discipline across product management, development and data operations.

Qualifications

Relevant Skills and Experiences

· Postgraduate degree or higher involving machine learning, statistics, or computer science

· Experience of statistical / machine learning projects in academia or commercial sector end to end with proven delivery capability including capturing requirements, designing analysis plans, interfacing with clients and report / manuscript writing

· Experience in applying Natural Language Processing and related AI capabilities.

· Experience working with large and complex healthcare datasets, preferably patient-level longitudinal data and experience with studies of treatment effectiveness/outcomes, disease progression, adherence, healthcare utilization, patient journey, sales targeting, prescription/procedure volumes/shares, provider networks and prescribing/treatment patterns, etc

· Strong related programming skills including experience with good coding practices and a thorough understanding of the data science package landscape. Familiarity with Tableau and PowerBI a plus.

· Familiarity with agile software development practices

· Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences, write analysis plans for projects, contribute to proposals / grant applications, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.

· Demonstrated ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest and exploration

· Proven ability to develop meaningful/valuable analytic insights from multiple data sources and support value through commercialization

Preferred candidates may also have

· Experience supporting or launching Data and Analytics or SaaS-based enterprise product

· Experience in managed markets and pharma market access ecosystem

· Experience in the commercial health insurance industry

· Knowledge of payer marketing, drug development lifecycle and drug launch process

Additional Information

All your information will be kept confidential according to EEO guidelines.

Position will be based in Livingston NJ or Yardley PA

(highly qualified remote applicants will be considered)

Travel Requirements:

Approximately <10>",3.9,"MMIT
3.9","Yardley, PA",-1,201 to 500 ,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,na,-1,0,57,94,75.5,MMIT, PA,26,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,data scientist,na,201,500,350.5,0,0
Field Scientist,$57K-$94K (Glassdoor est.),"Company Description*SGS is the world's leading inspection, verification, testing, and certification company. SGS is recognized as the global benchmark for quality and integrity. With more than 94,000 employees SGS operates a network of over 2,600 offices and laboratories around the world.*Job Description*PRIMARY RESPONSIBILITIESThe Field Scientist has a primary responsibility for the conduct of trials in accordance with SGS standards, sponsor protocols and sound agronomic science. This full-time position is located in Murdock, MN.RESPONSIBILITIES* Initiate and develop business opportunities with sponsor representatives. Includes preparing bids for field studies focusing on fertilizer, pesticide, seed variety, and biological crop protectant testing.* Perform responsibilities related to role of GLP Principle Investigator for field trial studies.* Maintain thorough knowledge of GLP requirements, regulatory guidelines, and SGS SOPs, and stay apprised of any changing EPA or OECD regulations, ensuring implementation across all studies.* Attend trade shows and other trainings to expand knowledge of the agricultural research industry and maintain relationships with clients including study directors and sponsors.* Communicate with both the SGS Laboratory Research/GLP team, as well as third party companies to ensure studies are remaining on schedule and that study deadlines are met.* Compose Field Trial Notebooks and associated reports as required by study protocols.* Actively communicate with Quality Assurance team.* Specific duties associated with the conduct of trials are detailed in SGS Standard Operating Procedures (SOP’s). These duties are briefly summarized below:* Assist in maintaining an up-to-date flow of paperwork.* Monitor thermographs and weather data collection* Assist in establishing and maintaining plots* Plot maintenance and plant protection* Pollinations, Sampling and Field Data collection* If employee has pesticide application license; under the direction of the Research Station Manager may apply maintenance and test chemicals.* Assist in execution of critical phases and preparation of the Field Trial Notebooks.* Maintain equipment and facilities in accordance with applicable SOP’s and in a safe, clean, neat and organized manner.* Complete assigned duties according to applicable SOP’s.* At all times, comply with SGS Code of Integrity and Professional Conduct.*Qualifications*PROFILE* Degree in Agronomy, Biological Sciences or 2 years relevant experience in field plot techniques and crop husbandry preferred.* Current Pesticide Applicator License or be able to obtain one in a timely basis.* Proficient in Microsoft Office to include Word, Excel and PowerPoint* Excellent interpersonal and communication skills with the ability to effectively present information and respond to questions from individuals and/or groups both within the organization or while representing the organization.* Able to partner effectively with multidisciplinary and multinational teams.* Ability to build and lead an effective team and foster a sense of collaboration to achieve goals.SKILLS AND QUALIFICATIONS* Must be able to operate farm equipment, such as tractors, cultivators, and sprayers.* Excellent interpersonal and communication skills with the ability to effectively present information and respond to questions from individuals and/or groups both within the organization and while representing the organization.* Must be able to work in a safe manner and foster a safe, sustainable, and environmentally sound manner.* Effective problem solving and analytical skills, with proven ability to see a project through to delivery within budget.* Excellent time management skills which includes the ability to balance multiple projects concurrently (with different deadlines) and to organize the resources necessary to accomplish them.* Must be detail-oriented, well organized and able to work independently.* Must be able to safely lift up to 50 pounds.* Must be able to work in a fast-paced environment.* Proficient in Microsoft Office to include Word, Excel, and PowerPoint. Knowledge of ARM and other sponsor-specific software preferred.* Ability to handle a variety of projects effectively, efficiently and with confidentiality.*OTHER INFORMATION: *Health and Safety Guidelines* Demonstrate strong commitment to SGS HSE Policies, Procedures, and Work Instructions by participating in safety meetings, completing required training, intervening in unsafe situations, refusing unsafe work, and complying fully with all applicable laws and regulations related to HSE.* Respond appropriately to emergency situations and assists other staff members in maintaining readiness to respond to emergencies within the workplace.* In accordance with the SGS HSE Management System requirements, dispose of, or direct the disposal of waste generated as part of daily work performed in a safe manner and in compliance with all waste transportation and disposal regulations and requirements.* Report all incidents (actual incidents and near misses) in accordance with the SGS Incident Reporting requirements.* Use all equipment (including safety equipment) in the manner intended and report any damaged/lost equipment to supervisor.* Maintain a safe and tidy worksite.* Maintain awareness of hazards and propose controls to supervisor, HSE Representatives or relevant client/site contact. Actively participates in incident investigations and risk assessments as deemed necessary by SGS management.*Additional Information*SGS is an Equal Opportunity Employer, and as such we recruit, hire, train, and promote persons in all job classifications without regard to race, color, religion, sex, national origin, disability, age, marital status, sexual orientation, gender identity or expression, genetics, status a s a protected veteran, or any other characteristics protected by law.To perform this job successfully, an individual must be able to perform each essential duty satisfactorily with or without reasonable accommodations. The requirements listed above are representative of the knowledge, skills, and/or abilities required.This job description should not be construed as an exhaustive statement of duties, responsibilities, or requirements, but a general description of the job. Nothing contained herein restricts the company's rights to assign or reassign duties and responsibilities to this job at any time.If you are applying for a position within the United States and you have difficulty completing the on-line employment application because of a disability, please call 201-508-3149 for assistance and leave a message. You will receive a call back. Please note, this phone number is not for general employment information, but is only for individuals who are experiencing difficulty applying for a position due to a disability.Job Type: Full-timePay: $40,000.00 - $60,000.00 per yearBenefits:* 401(k)* Dental insurance* Health insurance* Paid time off* Vision insuranceWork Remotely:* No",3.1,"SGS
3.1","Murdock, MN",-1,10000 to 20000 ,1878,Company - Public,Consulting,Business Services,$5 to $10 billion,-1,0,57,94,75.5,SGS, MN,142,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,na,na,10000,20000,15000.0,0,1
Data Scientist,$57K-$94K (Glassdoor est.),"Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA",-1,1 to 50 ,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million,-1,0,57,94,75.5,Great-Circle Technologies, VA,20,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,data scientist,na,1,50,25.5,1,0
